Test group name,Sample name,Length,Width,Thickness,Speed (%/min),Force cell,Données brutes,,
,,(mm),(mm),(mm),(%),(N),,,
20240523_test_1,,0,0,0,0,100,VRAI,,
,,,,,,,,,
Tableau de résultats 1,,,,,,,,,
,Sample name,Length,Speed (%/min),Thickness,Width,Waiting time,Initial length between the clamps,Date de début,Déformation 1 longueur initiale
,,(mm),(%),(mm),(mm),(s),(mm),,(mm)
1,rtv_1mm,4.77,60,1,4,0,45,23/05/2024,4.77
,,,,,,,,,
Tableau de résultats 2,,,,,,,,,
,Sample name,Thickness,Length,Initiql length between the clamps,Speed (%/min),Initial length between the clamps,Waiting time,Date de début,
,,(mm),(mm),(mm),(%),(mm),(s),,
1,rtv_1mm,1,4,4.77,60,45,0,23/05/2024,
,,,,,,,,,
Time (s),Displacement (mm),Shifted displacement 10.89 (mm),Force (N),Strain AS (%),Stress AS (kPa),Nombre total de cycles,Nombre de cycles,Extenso strain (%),
3.88,13.6671,24.5571,0.2156,-428.5723,53.9109,0,0,3.787,
3.9,13.6746,24.5646,0.2164,-428.4141,54.1022,0,0,3.8035,
3.92,13.6823,24.5723,0.2164,-428.2538,54.0974,0,0,3.8188,
3.94,13.69,24.58,0.2172,-428.0922,54.3,0,0,3.8325,
3.96,13.6979,24.5879,0.2187,-427.9274,54.674,0,0,3.8473,
3.98,13.7062,24.5962,0.2198,-427.7532,54.9482,0,0,3.8626,
4,13.7146,24.6046,0.2213,-427.5763,55.3206,0,0,3.8785,
4.02,13.7234,24.6134,0.2223,-427.3922,55.5855,0,0,3.8968,
4.04,13.7323,24.6223,0.2236,-427.205,55.9003,0,0,3.9161,
4.06,13.7412,24.6312,0.2237,-427.0179,55.9335,0,0,3.9343,
4.08,13.7502,24.6402,0.2248,-426.8308,56.2018,0,0,3.952,
4.1,13.7591,24.6491,0.2263,-426.644,56.5685,0,0,3.9712,
4.12,13.7682,24.6582,0.2271,-426.4518,56.7738,0,0,3.9902,
4.14,13.7775,24.6675,0.229,-426.2571,57.2497,0,0,4.0081,
4.16,13.7872,24.6772,0.2303,-426.0552,57.5831,0,0,4.0256,
4.18,13.7968,24.6868,0.2315,-425.8523,57.8741,0,0,4.0448,
4.2,13.8065,24.6965,0.2319,-425.6496,57.9841,0,0,4.0663,
4.22,13.816,24.706,0.233,-425.4507,58.2621,0,0,4.0881,
4.24,13.8254,24.7154,0.2344,-425.2539,58.5986,0,0,4.1103,
4.26,13.8347,24.7247,0.2353,-425.0595,58.8232,0,0,4.1314,
4.28,13.8439,24.7339,0.2369,-424.8656,59.2146,0,0,4.1492,
4.3,13.8534,24.7434,0.2381,-424.666,59.5186,0,0,4.1659,
4.32,13.863,24.753,0.2393,-424.4649,59.8315,0,0,4.1846,
4.34,13.8726,24.7626,0.2402,-424.2644,60.041,0,0,4.2031,
4.36,13.882,24.772,0.2416,-424.0667,60.4042,0,0,4.2212,
4.38,13.8917,24.7817,0.2422,-423.8645,60.5599,0,0,4.2421,
4.4,13.9013,24.7913,0.2436,-423.6615,60.8929,0,0,4.2639,
4.42,13.9113,24.8013,0.2447,-423.4519,61.1653,0,0,4.2868,
4.44,13.9213,24.8113,0.2465,-423.2439,61.6335,0,0,4.3101,
4.46,13.9309,24.8209,0.247,-423.0413,61.76,0,0,4.333,
4.48,13.9402,24.8302,0.2484,-422.8465,62.0891,0,0,4.3554,
4.5,13.9494,24.8394,0.2498,-422.6534,62.4512,0,0,4.3778,
4.52,13.9586,24.8486,0.2504,-422.4618,62.5986,0,0,4.4,
4.54,13.9676,24.8576,0.2515,-422.2718,62.8672,0,0,4.42,
4.56,13.9769,24.8669,0.2526,-422.0777,63.1588,0,0,4.44,
4.58,13.9862,24.8762,0.2539,-421.8829,63.486,0,0,4.4599,
4.6,13.9955,24.8855,0.2552,-421.6877,63.7948,0,0,4.4766,
4.62,14.0048,24.8948,0.257,-421.4937,64.2417,0,0,4.4922,
4.64,14.0143,24.9043,0.2578,-421.2941,64.4602,0,0,4.5088,
4.66,14.0238,24.9138,0.2587,-421.094,64.6804,0,0,4.5257,
4.68,14.0337,24.9237,0.2597,-420.8878,64.921,0,0,4.5419,
4.7,14.0438,24.9338,0.2608,-420.6757,65.1984,0,0,4.5597,
4.72,14.0539,24.9439,0.2618,-420.4624,65.4527,0,0,4.5785,
4.74,14.064,24.954,0.2634,-420.2522,65.8548,0,0,4.5971,
4.76,14.0741,24.9641,0.2651,-420.0395,66.2643,0,0,4.6176,
4.78,14.0842,24.9742,0.2662,-419.8271,66.5405,0,0,4.6385,
4.8,14.0944,24.9844,0.2667,-419.6134,66.6857,0,0,4.66,
4.82,14.1047,24.9947,0.2675,-419.399,66.8801,0,0,4.6822,
4.84,14.1147,25.0047,0.2689,-419.1882,67.2166,0,0,4.7065,
4.86,14.1245,25.0145,0.2702,-418.9836,67.5525,0,0,4.732,
4.88,14.1341,25.0241,0.2714,-418.7823,67.8574,0,0,4.757,
4.9,14.1436,25.0336,0.2725,-418.5835,68.1348,0,0,4.782,
4.92,14.1529,25.0429,0.2741,-418.3878,68.5284,0,0,4.805,
4.94,14.1623,25.0523,0.2755,-418.1902,68.8636,0,0,4.8269,
4.96,14.1715,25.0615,0.2766,-417.997,69.1469,0,0,4.8509,
4.98,14.1805,25.0705,0.2766,-417.809,69.1429,0,0,4.8733,
5,14.1891,25.0791,0.2777,-417.628,69.418,0,0,4.8958,
5.02,14.1977,25.0877,0.2791,-417.4487,69.7809,0,0,4.9173,
5.04,14.2061,25.0961,0.2799,-417.2718,69.9814,0,0,4.9376,
5.06,14.2146,25.1045,0.2818,-417.0954,70.446,0,0,4.9575,
5.08,14.2232,25.1132,0.2823,-416.9135,70.5721,0,0,4.9766,
5.1,14.2318,25.1218,0.2836,-416.733,70.8989,0,0,4.994,
5.108,14.2353,25.1253,0.2839,-416.6605,70.9844,0.5,0.5,5.0006,
5.109,14.2357,25.1257,0.2839,-416.6514,70.9865,0.5,0.5,5.0014,
5.11,14.2362,25.1262,0.284,-416.6423,70.9885,0.5,0.5,5.0021,
5.13,14.2448,25.1348,0.2841,-416.4618,71.0163,0.5,0.5,5.0171,
5.15,14.2529,25.1429,0.285,-416.2917,71.256,0.5,0.5,5.0316,
5.17,14.2602,25.1502,0.2857,-416.1377,71.4304,0.5,0.5,5.0477,
5.19,14.2663,25.1563,0.2866,-416.0115,71.6504,0.5,0.5,5.0644,
5.21,14.2705,25.1605,0.2867,-415.9218,71.678,0.5,0.5,5.0789,
5.23,14.2733,25.1633,0.2874,-415.8627,71.8438,0.5,0.5,5.0921,
5.25,14.275,25.165,0.2878,-415.8279,71.9469,0.5,0.5,5.1058,
5.27,14.2757,25.1657,0.2879,-415.8141,71.9831,0.5,0.5,5.1199,
5.29,14.2757,25.1657,0.2881,-415.8134,72.0192,0.5,0.5,5.1345,
5.31,14.2755,25.1655,0.2884,-415.8176,72.0912,0.5,0.5,5.1466,
5.33,14.2751,25.1651,0.2883,-415.826,72.0645,0.5,0.5,5.1445,
5.35,14.2744,25.1644,0.2883,-415.8409,72.0845,0.5,0.5,5.132,
5.37,14.274,25.164,0.2881,-415.8497,72.0128,0.5,0.5,5.1197,
5.39,14.2738,25.1638,0.2879,-415.8531,71.9863,0.5,0.5,5.1023,
5.41,14.2738,25.1638,0.2882,-415.8539,72.0399,0.5,0.5,5.0927,
5.43,14.2736,25.1636,0.288,-415.8571,72.0022,0.5,0.5,5.0981,
5.45,14.2734,25.1634,0.2874,-415.861,71.8543,0.5,0.5,5.1025,
5.47,14.2732,25.1632,0.2872,-415.8649,71.8012,0.5,0.5,5.0976,
5.49,14.2731,25.1631,0.287,-415.8685,71.7397,0.5,0.5,5.0824,
5.51,14.273,25.163,0.2873,-415.871,71.8295,0.5,0.5,5.0758,
5.53,14.2727,25.1627,0.2874,-415.8773,71.8612,0.5,0.5,5.0765,
5.55,14.2722,25.1622,0.2876,-415.8869,71.891,0.5,0.5,5.0734,
5.57,14.2716,25.1616,0.2876,-415.8991,71.8924,0.5,0.5,5.0755,
5.59,14.2707,25.1607,0.2869,-415.9192,71.7341,0.5,0.5,5.0783,
5.61,14.2691,25.1591,0.2862,-415.951,71.5575,0.5,0.5,5.0765,
